obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""""","=""""","=""91.2323660""","=""0.0000008""","=""""","=""109610.2232""","=""""","=""1.2258e+02""","=""2.4474e-05""","=""1.4701e-04""","=""-4.31027""",AAA,"=""0.000000000000000""","=""[0.998841848]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",2,3200,,
"=""""","=""""","=""91.2353295""","=""0.0000008""","=""""","=""109606.6628""","=""""","=""1.3913e+02""","=""2.6407e-05""","=""1.5863e-04""","=""-4.27724""",AAA,"=""0.000000000000000""","=""[0.998809403]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",2,3042,,
"=""""","=""""","=""91.2385303""","=""0.0000008""","=""""","=""109602.8177""","=""""","=""1.5843e+02""","=""2.8550e-05""","=""1.7151e-04""","=""-4.24336""",AAA,"=""0.000000000000000""","=""[0.998774364]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",2,2888,,
"=""""","=""""","=""91.2419943""","=""0.0000008""","=""""","=""109598.6566""","=""""","=""1.8103e+02""","=""3.0931e-05""","=""1.8582e-04""","=""-4.20857""",AAA,"=""0.000000000000000""","=""[0.998736445]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",2,2738,,
"=""""","=""""","=""91.2457513""","=""0.0000008""","=""""","=""109594.1439""","=""""","=""2.0762e+02""","=""3.3585e-05""","=""2.0177e-04""","=""-4.17283""",AAA,"=""0.000000000000000""","=""[0.998695323]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",2,2592,,
"=""""","=""""","=""91.2498352""","=""0.0000008""","=""""","=""109589.2390""","=""""","=""2.3903e+02""","=""3.6551e-05""","=""2.1960e-04""","=""-4.13607""",AAA,"=""0.000000000000000""","=""[0.998650626]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",2,2450,,
"=""""","=""""","=""91.2542852""","=""0.0000008""","=""""","=""109583.8949""","=""""","=""2.7631e+02""","=""3.9877e-05""","=""2.3960e-04""","=""-4.09825""",AAA,"=""0.000000000000000""","=""[0.998601927]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",2,2312,,
"=""""","=""""","=""91.2591463""","=""0.0000008""","=""""","=""109578.0577""","=""""","=""3.2081e+02""","=""4.3619e-05""","=""2.6210e-04""","=""-4.05929""",AAA,"=""0.000000000000000""","=""[0.998548734]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",2,2178,,
"=""""","=""""","=""91.2644709""","=""0.0000008""","=""""","=""109571.6647""","=""""","=""3.7418e+02""","=""4.7845e-05""","=""2.8751e-04""","=""-4.01913""",AAA,"=""0.000000000000000""","=""[0.998490477]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",2,2048,,
"=""""","=""""","=""91.2703197""","=""0.0000008""","=""""","=""109564.6431""","=""""","=""4.3857e+02""","=""5.2635e-05""","=""3.1631e-04""","=""-3.97769""",AAA,"=""0.000000000000000""","=""[0.998426492]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",2,1922,,
"=""""","=""""","=""91.2767639""","=""0.0000008""","=""""","=""109556.9077""","=""""","=""5.1673e+02""","=""5.8087e-05""","=""3.4910e-04""","=""-3.93489""",AAA,"=""0.000000000000000""","=""[0.998356002]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",2,1800,,
"=""""","=""""","=""91.2838873""","=""0.0000008""","=""""","=""109548.3584""","=""""","=""6.1221e+02""","=""6.4319e-05""","=""3.8658e-04""","=""-3.89063""",AAA,"=""0.000000000000000""","=""[0.998278095]""","=""1s""","=""2S""","=""1/2""","=""29""","=""""","=""""",2,1682,,
"=""""","=""""","=""91.2917887""","=""0.0000008""","=""""","=""109538.8768""","=""""","=""7.2967e+02""","=""7.1476e-05""","=""4.2963e-04""","=""-3.84481""",AAA,"=""0.000000000000000""","=""[0.998191692]""","=""1s""","=""2S""","=""1/2""","=""28""","=""""","=""""",2,1568,,
"=""""","=""""","=""91.3005859""","=""0.0000008""","=""""","=""109528.3223""","=""""","=""8.7524e+02""","=""7.9736e-05""","=""4.7933e-04""","=""-3.79731""",AAA,"=""0.000000000000000""","=""[0.998095512]""","=""1s""","=""2S""","=""1/2""","=""27""","=""""","=""""",2,1458,,
"=""""","=""""","=""91.3104195""","=""0.0000008""","=""""","=""109516.5267""","=""""","=""1.0571e+03""","=""8.9321e-05""","=""5.3700e-04""","=""-3.74802""",AAA,"=""0.000000000000000""","=""[0.997988023]""","=""1s""","=""2S""","=""1/2""","=""26""","=""""","=""""",2,1352,,
"=""""","=""""","=""91.3214592""","=""0.0000008""","=""""","=""109503.2875""","=""""","=""1.2862e+03""","=""1.0051e-04""","=""6.0432e-04""","=""-3.69678""",AAA,"=""0.000000000000000""","=""[0.997867378]""","=""1s""","=""2S""","=""1/2""","=""25""","=""""","=""""",2,1250,,
"=""""","=""""","=""91.3339105""","=""0.0000008""","=""""","=""109488.3592""","=""""","=""1.5776e+03""","=""1.1364e-04""","=""6.8340e-04""","=""-3.64343""",AAA,"=""0.000000000000000""","=""[0.997731342]""","=""1s""","=""2S""","=""1/2""","=""24""","=""""","=""""",2,1152,,
"=""""","=""""","=""91.3480251""","=""0.0000008""","=""""","=""109471.4416""","=""""","=""1.9519e+03""","=""1.2917e-04""","=""7.7691e-04""","=""-3.58780""",AAA,"=""0.000000000000000""","=""[0.997577177]""","=""1s""","=""2S""","=""1/2""","=""23""","=""""","=""""",2,1058,,
"=""""","=""""","=""91.3641133""","=""0.0000008""","=""""","=""109452.1650""","=""""","=""2.4380e+03""","=""1.4767e-04""","=""8.8831e-04""","=""-3.52969""",AAA,"=""0.000000000000000""","=""[0.997401516]""","=""1s""","=""2S""","=""1/2""","=""22""","=""""","=""""",2,968,,
"=""""","=""""","=""91.3825609""","=""0.0000008""","=""""","=""109430.0696""","=""""","=""3.0769e+03""","=""1.6987e-04""","=""1.0221e-03""","=""-3.46884""",AAA,"=""0.000000000000000""","=""[0.997200168]""","=""1s""","=""2S""","=""1/2""","=""21""","=""""","=""""",2,882,,
"=""""","=""""","=""91.4038537""","=""0.0000008""","=""""","=""109404.5776""","=""""","=""3.9276e+03""","=""1.9677e-04""","=""1.1842e-03""","=""-3.40500""",AAA,"=""0.000000000000000""","=""[0.996967867]""","=""1s""","=""2S""","=""1/2""","=""20""","=""""","=""""",2,800,,
"=""""","=""""","=""91.4286086""","=""0.0000008""","=""""","=""109374.9555""","=""""","=""5.0767e+03""","=""2.2967e-04""","=""1.3826e-03""","=""-3.33786""",AAA,"=""0.000000000000000""","=""[0.996697931]""","=""1s""","=""2S""","=""1/2""","=""19""","=""""","=""""",2,722,,
"=""""","=""""","=""91.4576201""","=""0.0000008""","=""""","=""109340.2604""","=""""","=""6.6540e+03""","=""2.7035e-04""","=""1.6280e-03""","=""-3.26705""",AAA,"=""0.000000000000000""","=""[0.996381766]""","=""1s""","=""2S""","=""1/2""","=""18""","=""""","=""""",2,648,,
"=""""","=""""","=""91.4919242""","=""0.0000008""","=""""","=""109299.2642""","=""""","=""8.8574e+03""","=""3.2124e-04""","=""1.9351e-03""","=""-3.19215""",AAA,"=""0.000000000000000""","=""[0.996008181]""","=""1s""","=""2S""","=""1/2""","=""17""","=""""","=""""",2,578,,
"=""""","=""""","=""91.5328932""","=""0.0000008""","=""""","=""109250.3433""","=""""","=""1.1997e+04""","=""3.8577e-04""","=""2.3249e-03""","=""-3.11264""",AAA,"=""0.000000000000000""","=""[0.995562381]""","=""1s""","=""2S""","=""1/2""","=""16""","=""""","=""""",2,512,,
"=""""","=""""","=""91.5823751""","=""0.0000008""","=""""","=""109191.3154""","=""""","=""1.6572e+04""","=""4.6886e-04""","=""2.8272e-03""","=""-3.02793""",AAA,"=""0.000000000000000""","=""[0.995024479]""","=""1s""","=""2S""","=""1/2""","=""15""","=""""","=""""",2,450,,
"=""""","=""""","=""91.6429076""","=""0.0000008""","=""""","=""109119.1917""","=""""","=""2.3409e+04""","=""5.7769e-04""","=""3.4858e-03""","=""-2.93727""",AAA,"=""0.000000000000000""","=""[0.994367240]""","=""1s""","=""2S""","=""1/2""","=""14""","=""""","=""""",2,392,,
"=""""","=""""","=""91.7180514""","=""0.0000008""","=""""","=""109029.7913""","=""""","=""3.3927e+04""","=""7.2310e-04""","=""4.3668e-03""","=""-2.83977""",AAA,"=""0.000000000000000""","=""[0.993552563]""","=""1s""","=""2S""","=""1/2""","=""13""","=""""","=""""",2,338,,
"=""91.8125""","=""0.0013""","=""91.8129300""","=""0.0000004""","=""-0.0004""","=""108917.6""","=""5600""","=""5.0659e+04""","=""9.2190e-04""","=""5.5730e-03""","=""-2.73429""",AAA,"=""0.000000000000000""","=""0.992525835""","=""1s""","=""2S""","=""1/2""","=""12""","=""""","=""""",2,288,,
"=""91.81293175""","=""0.00000003""","=""91.81293175""","=""0.00000003""","=""0.00000000""","=""108917.11886""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9925258166]""","=""1s""","=""2S""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,M1,
"=""91.8130""","=""0.0020""","=""91.81293046""","=""0.00000003""","=""0.0001""","=""108917.0""","=""""","=""2.4317e+06""","=""6.1461e-04""","=""3.7155e-03""","=""-2.91037""",AAA,"=""0.000000000000000""","=""[0.9925258306]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,
"=""91.8130""","=""0.0020""","=""91.81293188""","=""0.00000003""","=""0.0001""","=""108917.0""","=""""","=""2.4316e+06""","=""3.0729e-04""","=""1.8577e-03""","=""-3.21142""",AAA,"=""0.000000000000000""","=""[0.9925258152]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,
"=""91.9342""","=""0.0014""","=""91.9351334""","=""0.0000005""","=""-0.0009""","=""108773.4""","=""6100""","=""7.8340e+04""","=""1.2011e-03""","=""7.2707e-03""","=""-2.61938""",AAA,"=""0.000000000000000""","=""0.991206536""","=""1s""","=""2S""","=""1/2""","=""11""","=""""","=""""",2,242,,
"=""91.9349""","=""0.0020""","=""91.93513419""","=""0.00000003""","=""-0.0002""","=""108772.6""","=""""","=""3.1597e+06""","=""8.0074e-04""","=""4.8471e-03""","=""-2.79548""",AAA,"=""0.000000000000000""","=""[0.9912065269]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,
"=""91.9349""","=""0.0020""","=""91.93513605""","=""0.00000003""","=""-0.0002""","=""108772.6""","=""""","=""3.1597e+06""","=""4.0037e-04""","=""2.4235e-03""","=""-3.09651""",AAA,"=""0.000000000000000""","=""[0.9912065069]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,
"=""91.935133578""","=""0.000000020""","=""91.935133577""","=""0.000000019""","=""0.000000001""","=""108772.34427""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.99120653348]""","=""1s""","=""2S""","=""1/2""","=""11d""","=""2D""","=""5/2""",2,6,E2,
"=""91.93513586""","=""0.00000003""","=""91.93513586""","=""0.00000003""","=""0.00000000""","=""108772.34157""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9912065089]""","=""1s""","=""2S""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,M1,
"=""92.0947""","=""0.0014""","=""92.0963006""","=""0.0000007""","=""-0.0016""","=""108583.9""","=""7400""","=""1.2631e+05""","=""1.6062e-03""","=""9.7396e-03""","=""-2.49318""",AAA,"=""0.000000000000000""","=""0.989471939""","=""1s""","=""2S""","=""1/2""","=""10""","=""""","=""""",2,200,,
"=""92.09630369""","=""0.00000003""","=""92.09630369""","=""0.00000003""","="" 0.00000000""","=""108581.99080""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9894719050]""","=""1s""","=""2S""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,M1,
"=""92.0970""","=""0.0020""","=""92.09630145""","=""0.00000003""","=""0.0007""","=""108581.1""","=""""","=""4.2105e+06""","=""1.0708e-03""","=""6.4931e-03""","=""-2.66927""",AAA,"=""0.000000000000000""","=""[0.9894719291]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,
"=""92.0970""","=""0.0020""","=""92.09630394""","=""0.00000003""","=""0.0007""","=""108581.1""","=""""","=""4.2104e+06""","=""5.3538e-04""","=""3.2465e-03""","=""-2.97031""",AAA,"=""0.000000000000000""","=""[0.9894719024]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,
"=""92.3148""","=""0.0014""","=""92.3150275""","=""0.0000009""","=""-0.0002""","=""108325.0""","=""12000""","=""2.1425e+05""","=""2.2172e-03""","=""1.3477e-02""","=""-2.35316""",AAA,"=""0.000000000000000""","=""0.987127529""","=""1s""","=""2S""","=""1/2""","=""9""","=""""","=""""",2,162,,
"=""92.315027375""","=""0.000000020""","=""92.315027375""","=""0.000000017""","=""0.000000000""","=""108324.725501""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.98712753112]""","=""1s""","=""2S""","=""1/2""","=""9d""","=""2D""","=""5/2""",2,6,E2,
"=""92.31503159""","=""0.00000003""","=""92.31503159""","=""0.00000003""","="" 0.00000000""","=""108324.72055""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9871274860]""","=""1s""","=""2S""","=""1/2""","=""9s""","=""2S""","=""1/2""",2,2,M1,
"=""92.3151""","=""0.0020""","=""92.31502850""","=""0.00000003""","=""0.0001""","=""108324.6""","=""""","=""5.7848e+06""","=""1.4781e-03""","=""8.9845e-03""","=""-2.52925""",AAA,"=""0.000000000000000""","=""[0.9871275191]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,
"=""92.3151""","=""0.0020""","=""92.31503193""","=""0.00000003""","=""0.0001""","=""108324.6""","=""""","=""5.7847e+06""","=""7.3906e-04""","=""4.4922e-03""","=""-2.83029""",AAA,"=""0.000000000000000""","=""[0.9871274825]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""92.6225665291""","=""0.0000000003""","=""""","=""107965.0497145""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""0.983849924193""","=""1s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",2,2,M1,
"=""92.6229""","=""0.0020""","=""92.6225621017""","=""0.0000000005""","=""0.0003""","=""107964.7""","=""""","=""8.2547e+06""","=""2.1234e-03""","=""1.2949e-02""","=""-2.37195""",AAA,"=""0.000000000000000""","=""[0.983849971222]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,
"=""92.6229""","=""0.0020""","=""92.6225670063""","=""0.0000000005""","=""0.0003""","=""107964.7""","=""""","=""8.2545e+06""","=""1.0617e-03""","=""6.4745e-03""","=""-2.67299""",AAA,"=""0.000000000000000""","=""[0.983849919125]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,
"=""92.6249""","=""0.0014""","=""92.6225605""","=""0.0000013""","=""0.0023""","=""107962.3""","=""11000""","=""3.8694e+05""","=""3.1850e-03""","=""1.9424e-02""","=""-2.19586""",AAA,"=""0.000000000000000""","=""0.983849989""","=""1s""","=""2S""","=""1/2""","=""8""","=""""","=""""",2,128,,
"=""93.074815048""","=""0.000000020""","=""93.074815048""","=""0.000000020""","="" 0.000000000""","=""107440.449866""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.97906941863]""","=""1s""","=""2S""","=""1/2""","=""7d""","=""2D""","=""5/2""",2,6,E2,
"=""93.07482418""","=""0.00000003""","=""93.07482418""","=""0.00000003""","=""0.00000000""","=""107440.43933""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""[0.9790693226]""","=""1s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,M1,
"=""93.0749""","=""0.0020""","=""93.07481751""","=""0.00000003""","=""0.0001""","=""107440.3""","=""""","=""1.2362e+07""","=""3.2110e-03""","=""1.9678e-02""","=""-2.19233""",AAA,"=""0.000000000000000""","=""[0.9790693928]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,
"=""93.0749""","=""0.0020""","=""93.07482489""","=""0.00000003""","=""0.0001""","=""107440.3""","=""""","=""1.2362e+07""","=""1.6055e-03""","=""9.8389e-03""","=""-2.49336""",AAA,"=""0.000000000000000""","=""[0.9790693151]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,
"=""93.0751""","=""0.0014""","=""93.0748142""","=""0.0000020""","=""0.0003""","=""107440.1""","=""5600""","=""7.5684e+05""","=""4.8164e-03""","=""2.9516e-02""","=""-2.01625""",AAA,"=""0.000000000000000""","=""0.979069427""","=""1s""","=""2S""","=""1/2""","=""7""","=""""","=""""",2,98,,
"=""93.7801""","=""0.0021""","=""93.7803361139""","=""0.0000000009""","=""-0.0002""","=""106632.4""","=""""","=""1.9728e+07""","=""5.2022e-03""","=""3.2122e-02""","=""-1.98278""",AAA,"=""0.000000000000000""","=""[0.971703758319]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,
"=""93.7801""","=""0.0021""","=""93.7803480320""","=""0.0000000009""","=""-0.0002""","=""106632.4""","=""""","=""1.9728e+07""","=""2.6011e-03""","=""1.6061e-02""","=""-2.28381""",AAA,"=""0.000000000000000""","=""[0.971703634829]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""93.7803468734""","=""0.0000000006""","=""""","=""106632.1498416""","=""""","=""""","=""""","=""""","=""""",,"=""0.000000000000000""","=""0.971703646834""","=""1s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,M1,
"=""93.7814""","=""0.0014""","=""93.780331""","=""0.000004""","=""0.0011""","=""106631.0""","=""19000""","=""1.6440e+06""","=""7.8035e-03""","=""4.8184e-02""","=""-1.80668""",AAA,"=""0.000000000000000""","=""0.971703813""","=""1s""","=""2S""","=""1/2""","=""6""","=""""","=""""",2,72,,
