element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,8,"=""""","=""""","=""1.4634278582""","=""0.0000000021""","=""""","=""8.0840e+10""","=""5.1911e-03""","=""5.0019e-04""",AA,"=""0.00000000""","=""(62.269352431)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4634397743""","=""0.0000000022""","=""""","=""8.0753e+10""","=""2.5928e-03""","=""2.4983e-04""",AA,"=""0.00000000""","=""(62.268845398)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4820501188""","=""0.0000000022""","=""""","=""1.4086e+11""","=""9.2771e-03""","=""9.0527e-04""",AA,"=""0.00000000""","=""(61.486925375)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4820712386""","=""0.0000000022""","=""""","=""1.4073e+11""","=""4.6344e-03""","=""4.5224e-04""",AA,"=""0.00000000""","=""(61.486049174)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.5176017358""","=""0.0000000023""","=""""","=""2.7941e+11""","=""1.9295e-02""","=""1.9280e-03""",AA,"=""0.00000000""","=""(60.046521369)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.5176449925""","=""0.0000000025""","=""""","=""2.7922e+11""","=""9.6417e-03""","=""9.6345e-04""",AA,"=""0.00000000""","=""(60.04480989)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.600551532""","=""0.000000003""","=""""","=""6.8532e+11""","=""5.2641e-02""","=""5.5475e-03""",AA,"=""0.00000000""","=""(56.93456489)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.600665594""","=""0.000000003""","=""""","=""6.8520e+11""","=""2.6319e-02""","=""2.7738e-03""",AA,"=""0.00000000""","=""(56.93050777)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,7,"=""""","=""""","=""1.7805310""","=""0.0000023""","=""""","=""1.84e+02""","=""2.62e-11""","=""1.16e-07""",C,"=""0.000000""","=""(51.179511)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
O,7,"=""""","=""""","=""1.8628151""","=""0.0000014""","=""""","=""9.365e+11""","=""1.461e-01""","=""8.962e-03""",AA,"=""0.000000""","=""(48.918815)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
